Papel,Liq.2meses,Mrg Ebit,EV/EBIT,P/L
PSSA3,"90.251.300,00","81,71%","0,57","9,64"
WIZC3,"3.350.840,00","50,71%","2,23","7,65"
QUAL3,"7.326.760,00","39,27%","2,70","64,91"
GOAU4,"64.977.700,00","8,50%","3,51","11,50"
PETR4,"1.254.740.000,00","40,44%","3,55","5,06"
LREN3,"285.429.000,00","22,36%","3,58","9,87"
PETR3,"389.058.000,00","40,44%","3,66","5,34"
ASAI3,"137.914.000,00","7,44%","3,80","10,70"
CEAB3,"133.664.000,00","12,60%","3,92","7,40"
PLPL3,"20.632.200,00","25,48%","3,99","9,01"
SEER3,"11.965.200,00","19,71%","4,06","11,19"
ALLD3,"4.217.050,00","2,84%","4,11","2,23"
ANIM3,"26.375.400,00","29,83%","4,40","8,50"
VTRU3,"8.096.450,00","35,17%","4,49","3,95"
CSED3,"3.776.460,00","20,71%","4,64","8,78"
CMIN3,"42.052.300,00","30,54%","4,66","12,10"
PFRM3,"2.123.190,00","3,13%","4,70","9,78"
GMAT3,"48.697.800,00","6,27%","5,03","5,35"
CASH3,"8.973.210,00","18,02%","5,06","8,36"
COGN3,"100.266.000,00","32,38%","5,19","4,98"
GUAR3,"23.656.000,00","9,86%","5,28","10,30"
RECV3,"44.113.500,00","26,70%","5,37","5,26"
